requirement_id,domain,release_priority,normalized_requirement,runtime_area,stage11_artifacts,stage11_status,external_dependency,test_contract_status,notes
VIS-ASSET-003,Visual & interaction,P0_BASELINE_DEFERRED_FREEZE,Release-specific achievement/cosmetic art may use generic badge/icon fallback; do not invent final release inventory.,runtime asset provenance/fallback,11_3D_RUNTIME/FALLBACK_MAPPING.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md; 11_3D_RUNTIME/3D_RUNTIME_FINAL.md,BASELINE_WITH_DEFERRED_VISUAL_FREEZE,OD-028/029 art inventory,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-ASSET-004,Visual & interaction,P0_BASELINE_DEFERRED_FREEZE,Final evolution-branch art must not be invented; canonical/base mascot treatment remains valid until branch assets exist.,runtime asset provenance/fallback,11_3D_RUNTIME/FALLBACK_MAPPING.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md; 11_3D_RUNTIME/3D_RUNTIME_FINAL.md,BASELINE_WITH_DEFERRED_VISUAL_FREEZE,OD-028/029 art inventory,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-HANDOFF-001,Visual & interaction,P0,Current developer consumption filenames are the Stage-20 canonical files named by the handoff index even where versioned lineage companions exist.,developer handoff consumption,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-HANDOFF-002,Visual & interaction,P0_BASELINE_DEFERRED_FREEZE,No live Figma workspace/master link is available; file-based handoff is the current source.,developer handoff consumption,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md,BASELINE_WITH_DEFERRED_VISUAL_FREEZE,OD-030 live Figma link,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
PRD-AMBIENT-001,Ambient & pet interaction,P0,"Pet tone is cute, emotional and slightly naive but not overly childish; copy stays short and avoids corporate bureaucracy, sarcasm and complex humor.",ambient visual event,11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/PERFORMANCE_TIERS.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,Frequency/copy policy is outside 3D; runtime consumes an authorized semantic event.
PRD-AMBIENT-002,Ambient & pet interaction,P0,Ambient mascot reactions/copy are limited to at most 1–2 occurrences per day.,ambient visual event,11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/PERFORMANCE_TIERS.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,Frequency/copy policy is outside 3D; runtime consumes an authorized semantic event.
PRD-PETACT-001,Ambient & pet interaction,P0,"MVP includes lightweight pet actions such as petting, a short 2–3 second play interaction and call/visual reaction; they provide no gameplay advantage and use no sound.",pet interaction visual event,11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md,EXTERNAL_ANIMATION_WITH_UI_FALLBACK,dedicated final pet-interaction clip/DCC binding,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
PRD-ACH-001,Achievements & collection,P0,Achievements / Collection user surface shows only earned achievements and cosmetics; it does not expose an invented locked catalog.,achievement visual boundary,11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,3D may render generic committed reaction; achievement catalog/art remains outside 3D.
PRD-SCREEN-001,Release screen surface,P0,"MVP screen surface covers onboarding, Monthly Goal setup, Home, Add AI case, Result, History Tasks/Events, employee/directorate ratings, anonymous analytics, public employee profile, Profile, Achievements/Collection, scoring explainer, Director Dashboard, Executive Dashboard and Admin Panel, interpreted through current v2 navigation/Home overrides.",screen isolation,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,Realtime scene is Home visual subsystem; all other functional screens remain independent.
PRD-ACH-002,Achievements & collection,P0_BASELINE_DEFERRED_FREEZE,"MVP content planning uses approximately 20–30 achievements as a working orientation; exact achievement inventory, rewards and release-specific art remain content/balance items rather than a frozen mandatory list.",achievement visual boundary,11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md,BASELINE_WITH_DEFERRED_VISUAL_FREEZE,OD-028 release art inventory,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,3D may render generic committed reaction; achievement catalog/art remains outside 3D.
PRD-PETTIMELINE-001,Dashboards & history,P0,"Profile/history includes a compact Pet Timeline covering evolution stages, branch choice, major achievements, rare cosmetics and annual awards; routine daily HP changes are excluded.",timeline/3D separation,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,Timeline is a DOM/profile surface; 3D does not own history.
